date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:14	59771/59771	---MCZ	200	added ('OK')	text/html	etag:W/%2270ealen1ju1a47%22	https://jamesl.vercel.app/	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/index.html	(from )
21:21:14	77/77	---M--	200	added ('OK')	text/plain	etag:%22367dfb4c6c9f071f0db34d8bcb0902d4%22	https://jamesl.vercel.app/robots.txt		(from )
21:21:15	17311/17311	---MCZ	200	added ('OK')	text/css	etag:W/%220cda8bc342887a5bf22db1b42b01fce1%22	https://jamesl.vercel.app/_next/static/css/f177129ee14cf459.css	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/css/f177129ee14cf459.css	(from https://jamesl.vercel.app/)
21:21:15	521989/521989	---M--	200	added ('OK')	image/png	etag:%220a40a86795f6ee3b0cbd3711a21d186a%22	https://jamesl.vercel.app/favicon.png	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/favicon.png	(from https://jamesl.vercel.app/)
21:21:16	12770/12770	---MCZ	200	added ('OK')	text/css	etag:W/%22320480496f0acea519cffbd16cc95e41%22	https://jamesl.vercel.app/_next/static/css/145f7b3c03c47130.css	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/css/145f7b3c03c47130.css	(from https://jamesl.vercel.app/)
21:21:16	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://jamesl.vercel.app/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://jamesl.vercel.app/)
21:21:16	4923/4923	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a23bdbfd651f67733a669c10c9b9efc7%22	https://jamesl.vercel.app/_next/static/chunks/webpack-f1d45784094cdcc5.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/webpack-f1d45784094cdcc5.js	(from https://jamesl.vercel.app/)
21:21:17	141069/141069	---MCZ	200	added ('OK')	application/javascript	etag:W/%227d26f57b17849c41a6328e3686b95204%22	https://jamesl.vercel.app/_next/static/chunks/framework-e8fc622b6908af40.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/framework-e8fc622b6908af40.js	(from https://jamesl.vercel.app/)
21:21:17	118253/118253	---MCZ	200	added ('OK')	application/javascript	etag:W/%220a33669209b45635a25680968b664c6e%22	https://jamesl.vercel.app/_next/static/chunks/main-469a7dc25383636d.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/main-469a7dc25383636d.js	(from https://jamesl.vercel.app/)
21:21:18	103384/103384	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdde6ccb0baa5fc1bd8b35a4b9e4f911%22	https://jamesl.vercel.app/_next/static/chunks/pages/_app-1a3af0da44e9bd26.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/pages/_app-1a3af0da44e9bd26.js	(from https://jamesl.vercel.app/)
21:21:18	1212/1212	---MCZ	200	added ('OK')	application/javascript	etag:W/%220b59a73e6f352ef884e04f3cf9c8fd34%22	https://jamesl.vercel.app/_next/static/chunks/1a48c3c1-fe8375b15d32b347.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/1a48c3c1-fe8375b15d32b347.js	(from https://jamesl.vercel.app/)
21:21:19	762/762	---M--	200	added ('OK')	application/javascript	etag:%226888132e79ae81b0bc3271cb0b90deaa%22	https://jamesl.vercel.app/_next/static/chunks/d7eeaac4-f407f31efc9df7e0.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/d7eeaac4-f407f31efc9df7e0.js	(from https://jamesl.vercel.app/)
21:21:19	186465/186465	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2e760395892bef5665639e202ac4e75%22	https://jamesl.vercel.app/_next/static/chunks/151-cb14ac234f9dc556.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/151-cb14ac234f9dc556.js	(from https://jamesl.vercel.app/)
21:21:20	12563/12563	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdb6da0c1cdb5fa9cded10cf68fcfbc8%22	https://jamesl.vercel.app/_next/static/chunks/pages/index-e8834540ceaa4937.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/chunks/pages/index-e8834540ceaa4937.js	(from https://jamesl.vercel.app/)
21:21:20	1160/1160	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ec26c006fc83c35a4bcc9263a423be2%22	https://jamesl.vercel.app/_next/static/LUfujRSjC8EOFbac50dQr/_buildManifest.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/LUfujRSjC8EOFbac50dQr/_buildManifest.js	(from https://jamesl.vercel.app/)
21:21:20	172/172	---M--	200	added ('OK')	application/javascript	etag:%227ccf3631e6f8fed8f98e3a53c0674c88%22	https://jamesl.vercel.app/_next/static/LUfujRSjC8EOFbac50dQr/_ssgManifest.js	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/static/LUfujRSjC8EOFbac50dQr/_ssgManifest.js	(from https://jamesl.vercel.app/)
21:21:22	91706/91706	---M--	200	added ('OK')	image/png	date:Sun,%2019%20May%202024%2015:21:22%20GMT	https://jamesl.vercel.app/_next/image?url=%2Fimages%2Fjames.png&w=256&q=75	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/james0ffc.png	(from https://jamesl.vercel.app/)
21:21:22	2372/2372	---M--	200	added ('OK')	image/png	date:Sun,%2019%20May%202024%2015:21:23%20GMT	https://jamesl.vercel.app/_next/image?url=%2Fimages%2Flogos%2Flogo-html.png&w=64&q=75	C:/Users/Acer/Desktop/arik%20bd%20prtfolio/jamesl.vercel.app/_next/logo-htmlf7f2.png	(from https://jamesl.vercel.app/)
